,bg,above,across,against,along,and,at,attached to,behind,belonging to,between,carrying,covered in,covering,eating,flying in,for,from,growing on,hanging from,has,holding,in,in front of,laying on,looking at,lying on,made of,mounted on,near,of,on,on back of,over,painted on,parked on,part of,playing,riding,says,sitting on,standing on,to,under,using,walking in,walking on,watching,wearing,wears,with
bg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
above,0.0,0.9310727216314709,0.000681091775911219,0.0022279953786907146,0.03894988711053599,0.006098447319878453,0.000997530242400245,1.4459189828453368e-05,5.204258912475824e-05,0.002084935228037412,6.232217259900787e-05,0.006542824162446465,0.0,0.0002024008051917757,0.00993971562214406,8.488475617071786e-06,6.847704615100331e-05,2.583105552154015e-05,6.6963258973899875e-06,1.960279687984688e-05,0.0004316774679770183,3.0714446504018896e-05,0.0,3.876778032326129e-06,1.2851437523770976e-05,6.220965986921861e-08,0.000261619933090846,1.790236857062495e-05,4.229933595180768e-05,2.2797914169100833e-07,0.0,1.119889831856751e-08,0.00013889926567264526,0.0,1.5856599729476596e-07,5.969944392880087e-07,0.0,0.0,0.0,2.654373042916096e-06,0.0,0.0,1.0536276654668308e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
across,0.0,0.006003035619451373,0.8593191613717992,0.11743000409393244,0.0005656900957524102,0.0002585085634060939,1.5530371042876513e-05,0.0005413112774212711,2.2295786184880214e-05,0.014219547895284557,7.721928474146625e-07,2.409405785575279e-05,0.0,4.290745836256239e-05,0.00013791575562068206,3.5879281034694588e-09,0.0,7.424725895174751e-07,0.0,0.0011458792551678756,0.0,2.68426910145419e-09,0.0,1.2059008625536028e-05,4.020910210392234e-06,1.7618170078476671e-07,0.0,0.0,0.0,7.56849704516404e-05,2.344518069969887e-08,1.2556672910920734e-08,0.00013965817799544875,0.0,4.0991501206262936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
against,0.0,0.0016780431624360138,0.0012822672332427525,0.996099264530963,6.9125366537277395e-06,2.0170941829503827e-05,1.468199607767944e-07,8.526087693450135e-07,4.5876864339296104e-08,0.00031584282345304484,0.0,1.851617215278227e-05,0.0,4.457925340512998e-06,3.193363167692923e-05,0.0,0.0,0.0,0.0,0.0005415328616762996,0.0,0.0,0.0,0.0,0.0,1.3988603476138294e-09,0.0,0.0,0.0,0.0,9.599018840159621e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
along,0.0,0.3103975052150206,0.0012192318988611664,0.00011086384344667515,0.6860593959142446,0.0006919634376164097,0.00015930791682758602,0.000522484568338099,6.113448693516583e-05,0.00027851844229682,2.586710135156009e-06,0.00018343456577435578,0.0,0.00010503030058132893,0.0001322821838306743,7.685173528011858e-07,0.0,0.0,1.363965994822036e-06,0.0,0.0,7.447664174757485e-07,0.0,6.386543121017694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.149653230017351e-06,0.0,8.868665966084012e-08,8.178549487877027e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0912436229639927e-07,0.0,0.0,0.0,0.0,0.0,0.0
and,0.0,0.1787163545411753,0.0016082532658575318,0.2990202972513559,0.0013853646101262798,0.5027217211627697,0.0010998791283342085,3.357557833670087e-05,0.0013467910468022606,0.001201337156193414,2.016017856122741e-05,0.010062505351100115,0.0,0.00018615247453203246,0.0021741795917668374,2.5850447914179086e-05,0.0002120388792592307,4.615953116209932e-05,0.0,0.0,4.5854115655405193e-05,3.7116570518225966e-06,0.0,4.6642906844836343e-07,0.0,4.804841097714127e-06,7.540515756462884e-07,0.0,3.7688373010912834e-06,4.456602018557218e-06,1.7211976511117466e-08,2.896404756285004e-07,2.3698016381487783e-05,2.6722529369109007e-07,4.9443405080274365e-05,0.0,0.0,0.0,0.0,1.9061805874081319e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.0,0.5942830370476587,0.0017941786954026695,0.001084006997471723,0.00616480300939841,0.011608120454548782,0.29961699236053785,0.0002816857654027648,0.05696780616705194,0.007914074877842374,0.0014519511889763193,0.0015591537813998142,0.0,0.002120156365953038,0.0030065024624388766,0.002413678618271625,0.00012431935227769694,0.006959643322172652,2.6285850770673888e-05,2.6031552736115896e-08,5.081836856139777e-05,0.00013890690643691037,0.0,0.0006948407608706912,0.00036049704743261577,0.000238003534052653,0.00012050402865238466,0.0003350018072530431,7.364393668166252e-06,0.00027068933299006706,4.1951648165653157e-07,0.0,0.00026285273666474385,8.046220549651002e-09,1.1930356105231531e-05,0.0001098001375389747,0.0,0.0,0.0,0.0,0.0,0.0,1.5608873456798426e-05,5.868574599358316e-06,0.0,0.0,4.826043564325244e-07,0.0,0.0,0.0,0.0
attached to,0.0,0.03294856880614563,0.49858768076582083,0.31083579644109144,0.005435141541228009,0.0025732696898977765,0.001936939746151371,0.011722316088686157,0.0005111448707577242,0.12110009322571261,7.320549907575303e-07,0.0006719650923227023,0.0,0.0004991944919546674,0.0012717969965791525,2.5095599595312012e-06,1.4912116993235958e-08,4.686147287589734e-05,7.274324318058122e-09,0.010058562920680116,0.0,9.298295485529112e-05,0.0,0.00022218014282696905,8.771471469451201e-05,5.794660043184578e-06,2.1612332704703198e-07,0.0,0.0,0.0003989582067997655,3.196962018131546e-08,0.0,0.0007194940319502611,0.0,0.00026703825143166736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9641393578123847e-06,0.0,0.0,0.0
behind,0.0,0.05803548950571933,0.0015466702093879592,0.0007317706823265209,0.00779135003091665,0.010556364034391868,0.049087506825520766,0.00013213972323191484,0.85047287192537,0.006341221411640036,0.006458331082988722,0.0010445468954411567,0.0,0.0011102848281926841,0.004662438240362115,0.000272397073128491,3.099134210098133e-05,0.0013209652474044176,8.81914816404769e-06,1.5627297274544468e-06,0.0,7.130618379693932e-05,0.0,7.502082960717378e-05,7.372228940366299e-06,0.00013480384913281635,0.0,0.0,0.0,1.546448501962697e-05,0.0,0.0,0.0,0.0,9.030980482582119e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
belonging to,0.0,0.016692827574109594,0.007028759965195076,0.023782159812800515,0.0012456704629699997,0.00017267007807893274,8.467664943160165e-05,0.0007219074128254757,0.00014856980604071842,0.9185529390163174,1.2429171016228054e-06,0.00014114013759730946,0.0,0.0004784016838323464,0.0013849131796776638,1.0761570694497884e-06,0.0,1.0281276528574502e-07,0.0,0.021234800187410436,0.0,0.0,0.0,2.190712238960099e-06,2.8422294040188546e-05,2.6120005213536026e-06,0.0,0.0,0.0,0.005728471698173259,0.0,0.0,0.0025663801668286755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between,0.0,0.9175372071329234,0.0012954891816287122,0.0001930927223976755,0.004019964785152715,0.010661973642911661,0.0020907484238487125,2.4332958107205952e-05,0.003594925925863853,0.0004679617441602552,0.04449271216450894,0.003918054739903716,0.0,5.039335905291004e-06,0.010230776086446484,5.884919183791334e-06,6.451424336264303e-05,2.0089130792579224e-05,0.0,2.360309921105114e-06,0.00010860470997409935,0.000991168624735351,0.0,4.2389654343596387e-07,0.0,5.734444153925199e-06,0.0,0.0,0.00025331356784664006,0.0,2.4276194513719015e-08,1.2617434982724604e-06,0.0,0.0,1.4354985038516092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrying,0.0,0.5387302731672169,0.0006393690766064691,0.0003984570719471039,1.6603123288864541e-06,0.048228798068127195,0.0003776687731928848,0.0,4.422247772739349e-05,1.7770163293895147e-05,0.0003688906643980677,0.3889574087518033,0.0,0.0,0.021962203763616843,0.0,1.5409275471713035e-06,0.00022268589938141472,0.0,0.0,4.9022008007691616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covered in,0.0,0.0030353741049234024,0.0013158765264589312,0.9942545284017525,0.0,0.00012484794578131267,2.209964146619517e-07,0.0,0.0,0.0010412447468069867,0.0,0.0,3.5922365835556468e-06,1.7470936706471406e-09,0.0,0.0,0.0,4.9321228021647206e-08,0.0,0.00022426990449014622,0.0,5.599740285447724e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covering,0.0,0.33364580490672663,0.00897114450795413,0.0025719374255428877,0.031402728938125214,0.004897829989388128,0.02637906118446979,0.0017608715554161011,0.004657994556449691,0.22941810120637207,1.2578062564724352e-05,0.00014025983622220338,0.0,0.3448416276060568,0.00251832332291141,4.7718778364088575e-05,0.0,0.005262115287561991,0.0,0.00021076617159757456,0.0,1.4881849563394413e-07,0.0,0.0032292980110790992,0.0,1.5646959640757865e-05,0.0,0.0,1.3503020973942084e-06,5.517405035857762e-06,3.294856932479095e-06,0.0,0.0,5.9588138808264475e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eating,0.0,0.448154994163232,1.6649843023649085e-06,0.0003903908511506717,0.0,0.0008095751395896473,9.43953720901376e-06,1.3394048002725763e-08,0.0,0.0004101640352907759,0.0,0.0,0.0,1.1532975941952208e-06,0.5502117757537387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.542176121739792e-07,1.063300943567871e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flying in,0.0,0.6745974838445172,0.00040315239300393044,6.719740459862621e-07,0.01573078906919839,0.015820628473637823,0.13440246273644937,6.3392556049572e-05,0.0516579488532747,0.0037271854134515083,0.002199625195607856,0.0038080989459216476,0.0,0.004498778894358051,0.0005502216749204176,0.07441759810712623,0.0,0.005985932173700654,0.0,0.0005327418423138789,0.0,0.0,0.0,0.006323441767428775,0.0005710591302194323,1.9155015047418144e-05,0.0,0.0,0.0,0.0021937682808526944,0.0,1.4762823066149812e-06,0.002494374688184515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.0,0.8248941628398652,0.01774911066096535,0.026664333478480517,0.0,0.072169358237983,0.0011982035733711187,3.343283239784034e-08,0.00031148822639458614,0.0010413155094330696,0.0,0.005454373619512762,0.0,0.0,0.007449037958701014,0.0,0.030435115206622648,0.0011818298356433949,0.0,0.0,0.011327442129074237,0.0,0.0,0.0,3.131865855854582e-05,0.0,0.0,0.0,0.0,8.91240976505605e-05,0.0,0.0,0.0,0.0,3.7523663456189037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from,0.0,0.6287246809392415,0.0014588367609702805,0.0027787378202820136,0.0018757291030938972,0.008209033972470402,0.07272922346941837,0.0,0.0009049775961933611,0.000616799577468707,0.0,0.003176889317047012,0.0,0.0018444659012502268,0.0007484920330137146,0.0001009000048769648,0.00031025925410820807,0.2737928018220028,0.0,0.0,0.00017719935825448032,0.00020662330668920205,0.0,0.0,0.0,6.116618446590756e-05,0.0,0.0,0.0,0.0013291882271023224,0.0,0.0,0.0009539198603845868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
growing on,0.0,0.9032985619926677,0.005758036059208781,0.0,0.07447263238190696,0.0016882545985806615,0.002170789597567328,0.0001352043132243435,8.923107710093868e-05,0.0033973025600128465,0.0006962966721132057,0.0,0.0,0.002269481922245981,0.0,7.529040199083464e-05,0.0,0.0,0.005669644344421351,0.0,0.0,3.725987721828519e-05,0.0,0.0,0.0,0.0,0.00023603285525127215,0.0,0.0,0.0,0.0,0.0,0.0,5.997740090401474e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hanging from,0.0,0.014954988389243933,0.002509694487776399,0.03183101654223836,3.8142302183477112e-06,1.4697203592068395e-05,6.333883647779736e-05,3.5608700388505515e-05,0.00018525791002514208,0.5711315129425037,0.0,0.0,0.0,7.936960762269428e-05,0.0,0.0,0.0,0.0,0.0,0.3791828306430773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.856602395518742e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
